,date,latitude,longitude,normB2,normB3,normB4,normB5,normB6,OWTs,B2,B3,B4,B5,B6
285,2013-06-28,-21.3094,-50.1408,0.23599117267532868,0.3638877552800806,0.22798597966311596,0.1383285464263258,0.03380654595514893,OWT 1,0.005152395017695275,0.007944760967330081,0.004977617647320667,0.0030201270044646084,0.0007380982812625582
286,2013-06-28,-21.301,-50.1407,0.21422819743623014,0.3608520602193958,0.245260184069625,0.1460782890721428,0.033581269202606207,OWT 1,0.006734315254530488,0.01134347188113555,0.007709813267698734,0.0045920063849068105,0.0010556353279540785
287,2013-06-28,-21.285,-50.1408,0.26557079596742666,0.3894485045975353,0.20173281444348112,0.11245290750170661,0.030794977489850175,OWT 1,0.009226872997103935,0.013530824719425287,0.007008914709306509,0.003907013540000037,0.0010699269293238597
288,2013-06-29,-21.2768,-50.137,0.2741118777841925,0.4092509903890494,0.18875350929644014,0.1052388469972431,0.02264477553307493,OWT 1,0.006955392081351367,0.01038445003130525,0.004789484769869579,0.0026703601791070743,0.0005745949197820988
289,2013-06-29,-21.2702,-50.1489,0.2761096120334549,0.41210480258512705,0.18573261464602228,0.10452015362331246,0.02153281711208321,OWT 1,0.0069844168735752376,0.010424525664496613,0.004698257326694391,0.002643922169963744,0.0005446900963195046
290,2013-06-29,-21.268,-50.144,0.3017020062415086,0.41286323747626674,0.17305939917122004,0.10035953616200786,0.012015820948996581,OWT 1,0.00641090544889461,0.008772985011793777,0.0036773618410780046,0.0021325529294443004,0.00025532575323082476
291,2013-06-29,-21.2615,-50.1397,0.2815801769553355,0.3945197339157866,0.1779080796970282,0.11143175777721238,0.034560251654637324,OWT 1,0.006713884577860966,0.009406769985868573,0.004241968754583895,0.0026569340502369085,0.0008240407513767164
292,2013-06-29,-21.2516,-50.1479,0.2908149534918887,0.39899954702876606,0.17223995229583655,0.10636615735495818,0.03157938982855062,OWT 1,0.006183075716347203,0.00848321030416308,0.0036620285636546246,0.002261472447292676,0.0006714158128440919
293,2013-06-29,-21.2445,-50.1421,0.2700617491342721,0.4121240157658016,0.16805639665502214,0.11100504129187434,0.03875279715302968,OWT 1,0.0042567827076588245,0.006496004670585707,0.002648948121997354,0.0017496899940438065,0.0006108315499075333
294,2013-06-29,-21.2351,-50.1372,0.2508772746398644,0.3508732861169544,0.18022273110808348,0.14801904699904384,0.07000766113605382,OWT 1,0.004170213313373009,0.005832399332192662,0.0029957565256488543,0.002460450040021733,0.0011637039701055786
295,2013-06-29,-21.2316,-50.1323,0.27008381380516294,0.39759689784768576,0.17124892555228896,0.12079702254413113,0.04027334025073132,OWT 1,0.003720566726069995,0.005477136032994185,0.0023590567879966167,0.0016640515266503168,0.0005547894469257604
296,2013-06-30,-21.2281,-50.1518,0.3100059570916486,0.40346706076340316,0.15985224431633938,0.10439621014813869,0.02227852768047002,OWT 1,0.003749373909438359,0.004879741296380519,0.0019333365069099673,0.0012626222742486129,0.00026944814612436634
297,2013-06-30,-21.2231,-50.143,0.2635018012338039,0.4171944000529721,0.1721072101149671,0.11898509416270878,0.02821149443554816,OWT 1,0.0030441164827492008,0.0048196571855122225,0.0019882763330565795,0.0013745806846336703,0.00032591456609451947
298,2013-06-30,-21.2207,-50.1357,0.27066351546903106,0.40377557432355254,0.16808714027705499,0.12375375319065551,0.03372001673970597,OWT 1,0.003179936543603926,0.0047438263039668496,0.001974800478559675,0.0014539421077760053,0.00039616537639257826
299,2013-06-30,-21.2102,-50.1457,0.2761064153372607,0.42566736008078015,0.16337268813639644,0.10686523561066341,0.027988300834899192,OWT 1,0.0029627757254124193,0.004567648020808335,0.0017530800000233385,0.001146723539802607,0.00030033006733251724
300,2013-06-30,-21.2063,-50.1368,0.2746419916294702,0.42041632075340596,0.16722713434372333,0.11001809028322809,0.027696462990172477,OWT 1,0.0029984845911219526,0.004590018635373176,0.0018257513447675197,0.0012011548070332482,0.0003023842676492603
301,2013-06-30,-21.1989,-50.1401,0.257218634902041,0.3859435666218742,0.17591252529580154,0.14986666627473874,0.031058606905544534,OWT 1,0.001899949632011067,0.002850778434694391,0.0012993807304403963,0.001106992568978741,0.0002294149052748024
302,2013-06-17,-18.4283,-45.3212,0.30933839448495787,0.4766743426787632,0.12259081817480286,0.07089787857065269,0.020498566090823296,OWT 1,0.00748911754209162,0.011540339787320221,0.002967937583114741,0.0017164456645758388,0.0004962726051323519
303,2013-06-17,-18.4976,-45.4311,0.29015618451324127,0.4704196999961656,0.13698236965264926,0.08074407643752261,0.021697669400421168,OWT 1,0.01707293825434472,0.027679735674548026,0.008060112669791392,0.004751022742232829,0.00127670196159362
304,2013-06-17,-18.4876,-45.3258,0.2575297991132169,0.4983156682726999,0.13647226159257075,0.08747559025056512,0.020206680770947363,OWT 1,0.0054412567208609215,0.010528736823605797,0.0028834745072557895,0.0018482410385172998,0.0004269398645508658
305,2013-06-21,-18.2353,-45.3278,0.3239865800594474,0.4559490154196482,0.12987789824470627,0.07194907838112229,0.01823742789507588,OWT 1,0.009521842136690896,0.013400167829201223,0.0038170619409741676,0.0021145559982754265,0.0005359910566799779
306,2013-06-18,-18.5448,-45.2371,0.21343544921393717,0.5093763433786227,0.1499155042662379,0.1038014518169528,0.023471251324249494,OWT 1,0.007290230847764279,0.01739856778851204,0.005120605025008648,0.0035455054390714233,0.0008016983170783348
307,2013-06-18,-18.5448,-45.2151,0.24809580948287752,0.49144041480981265,0.14127354120397395,0.09277057684650387,0.026419657656831907,OWT 1,0.006339690015619843,0.012557970638584555,0.003610018486442451,0.0023706031190247273,0.0006751119263651697
308,2013-06-18,-18.5954,-45.2976,0.22224901539787667,0.4934577306388107,0.15342315413741903,0.10689744929921262,0.023972650526681,OWT 1,0.007525857005640197,0.016709600771310715,0.005195256848834355,0.003619790694025424,0.0008117684552482837
309,2013-06-18,-18.6445,-45.3307,0.2617899386443275,0.43253211549323417,0.18141805986252907,0.10182789511077295,0.022431990889136433,OWT 1,0.014139715068303057,0.023361787327028743,0.009798694663302682,0.005499895948360114,0.001211589571507897
310,2013-06-18,-18.6064,-45.2248,0.2604468789849312,0.49233182210607945,0.13732908604562352,0.08771210380986945,0.02218010905349657,OWT 1,0.005767915924841485,0.010903292710204373,0.0030413212300090856,0.0019424922361828973,0.000491205748838271
