Ponto1;Ponto 2;Ponto 3;Ponto 4;Ponto 5;Ponto 6;Ponto 7;Ponto 8;Ponto 9;Ponto 10;Ponto 11;Ponto 12;Ponto 13;Ponto 14;Ponto 15;Ponto 16;Ponto 17;Ponto 18;Ponto 19;Ponto 20;Ponto 21;Ponto 22;Ponto 23;Ponto 24;Ponto 25;Ponto 26;Ponto 27;Ponto 28;Ponto 29;Ponto 30;Ponto 31;Ponto 32;Ponto 33;Ponto 34;Ponto 35;Ponto 36;Ponto 37;Ponto 38;Ponto 39;Ponto 40;Ponto 41;Ponto 42;Ponto 43;Ponto 44;Ponto 45;Ponto 46;Ponto 47;Ponto 48;Ponto 49;Ponto 50;Ponto 51
0.040299024;0.012997737;0.004824628;0.007716584;0.020055326;0.018215137;0.02228409;0.019309643;0.013162494;0.012634377;0.028172453;0.025517614;0.011734205;0.033688922;0.007864689;0.006100523;0.007098025;0.017437027;0.01745079;0.006207077;0.011450654;0.008184271;0.00594991;0.011639309;0.006296848;0.004353878;0.007084102;0.007391651;0.007671838;0.003918504;0.010631331;0.023752787;0.004689566;0.005387417;0.004412305;0.00353226;0.003158643;0.003332005;0.0038387;0.004911412;0.011360506;0.008080245;0.006418623;0.005900365;0.005210806;0.008277431;0.014447047;0.010172173;0.021513161;0.012138764;0.010027684
0.040233679;0.013018804;0.004817188;0.007760956;0.020113982;0.018277657;0.02234169;0.019370501;0.013200703;0.0126757;0.02823882;0.025599756;0.011783069;0.033723304;0.007868535;0.00609402;0.007102041;0.017468839;0.017475481;0.006214515;0.011477693;0.008163728;0.005955086;0.011647242;0.0063085;0.00435256;0.007078781;0.007385474;0.007675353;0.003890687;0.010625663;0.023683124;0.004699758;0.005399712;0.004396243;0.003516003;0.003159207;0.00332424;0.003829253;0.004916757;0.011355721;0.008102994;0.006414363;0.00589614;0.005188529;0.008298619;0.014469634;0.01022494;0.021559457;0.012125082;0.010054896
0.040041178;0.01305795;0.004821926;0.007818462;0.02018106;0.018355185;0.022413876;0.019449701;0.013276183;0.012731141;0.028315735;0.025698332;0.011855629;0.033792167;0.007895658;0.006101139;0.007128944;0.017534547;0.017538211;0.006233716;0.011522825;0.008145264;0.005967728;0.011671063;0.006327708;0.004367817;0.007089975;0.007392076;0.007682656;0.003885396;0.010626245;0.023652186;0.004711287;0.005404867;0.00437983;0.003509188;0.003153126;0.003324908;0.003824927;0.004917875;0.011354868;0.008140286;0.006418434;0.005894083;0.005167858;0.008330839;0.014506594;0.01028918;0.021614907;0.012128917;0.010095005
0.039755961;0.013121634;0.004833022;0.007886933;0.020264226;0.01843559;0.022498351;0.019528107;0.013388171;0.012815827;0.028417554;0.025821189;0.011938666;0.033889391;0.007937088;0.006114394;0.007179463;0.017626907;0.017639879;0.006262363;0.011584987;0.008127877;0.005994435;0.011718454;0.006357118;0.004395125;0.007112726;0.007413107;0.007691758;0.00388752;0.010631369;0.023669968;0.004722746;0.005401437;0.004364839;0.003498818;0.003122552;0.003327669;0.003815187;0.004908736;0.01136552;0.008196623;0.006432749;0.005908582;0.005165397;0.008377336;0.014568673;0.010361225;0.021678832;0.012151302;0.010151638
0.03943487;0.013213795;0.004852403;0.007969398;0.02036415;0.018535131;0.022612481;0.019610405;0.013526157;0.012921714;0.028553443;0.025975702;0.012046545;0.034026456;0.007971508;0.006135902;0.007213143;0.017752294;0.017771142;0.006300224;0.011658615;0.008103865;0.00603428;0.01178979;0.006395834;0.004418038;0.007143181;0.007436312;0.007716807;0.003901439;0.01063821;0.023698049;0.004731822;0.00540146;0.004363696;0.003504717;0.003096583;0.003325891;0.003817815;0.004907515;0.01140651;0.008273745;0.006447616;0.005932033;0.005162981;0.00844084;0.014662727;0.010451915;0.021786273;0.01219076;0.010235802
0.039118668;0.013337625;0.004881557;0.008067951;0.020481224;0.018661047;0.022756269;0.019702419;0.01368065;0.013041514;0.028709328;0.026162055;0.012173588;0.034193717;0.00801495;0.006165353;0.007246122;0.017896506;0.017927496;0.006347293;0.011750478;0.008080972;0.006081176;0.011883899;0.006449373;0.004434644;0.007186892;0.007473445;0.007753097;0.003927247;0.010651499;0.023748137;0.004744212;0.005404208;0.004367881;0.003526141;0.00308234;0.003331688;0.003826621;0.004909562;0.011474862;0.008368462;0.006469303;0.00596004;0.005162303;0.008516375;0.014778111;0.010560845;0.021929392;0.012247548;0.010343538
0.038826316;0.013492215;0.004918944;0.008174257;0.020624426;0.018814838;0.022921725;0.019819946;0.013847012;0.013171913;0.028880738;0.026380124;0.012299934;0.034379572;0.008080651;0.006208071;0.007318548;0.018047617;0.018108421;0.006406767;0.011864517;0.008067625;0.006142373;0.012000514;0.006519167;0.004445106;0.007248782;0.007528627;0.007794766;0.003951223;0.010683686;0.02383533;0.00476365;0.005414049;0.004365997;0.003537308;0.00309203;0.003347998;0.003825598;0.004923389;0.01157962;0.008478558;0.00650826;0.005987864;0.005160836;0.008601704;0.014917154;0.010687266;0.022089444;0.012318665;0.010456446
0.038586034;0.013659838;0.004953396;0.008293919;0.020782354;0.018994737;0.023104019;0.019954061;0.014030293;0.013319566;0.029077886;0.02660971;0.012454393;0.034595966;0.008164356;0.006260425;0.007402777;0.018223342;0.018326925;0.006493134;0.01200089;0.00805476;0.006223521;0.012131015;0.006615938;0.004477049;0.007325499;0.007590588;0.007840626;0.003962808;0.010720457;0.023944809;0.004794797;0.00543885;0.004370695;0.003557349;0.003099884;0.003347329;0.003842926;0.004935242;0.011705829;0.008591881;0.006553268;0.006018425;0.005144104;0.008696272;0.015062664;0.010830622;0.022268035;0.012397446;0.010589454
0.038403396;0.013842641;0.004991165;0.008427211;0.020944977;0.019191766;0.023308692;0.020113131;0.014225594;0.013483483;0.029296209;0.0268562;0.01264561;0.034843702;0.008268681;0.0063191;0.007491701;0.018425422;0.018563851;0.006600807;0.0121535;0.008040258;0.006314061;0.012279311;0.006722997;0.004531169;0.007417947;0.00765527;0.007890125;0.003986028;0.010759553;0.02407706;0.004834371;0.005480564;0.004387845;0.003590217;0.003098385;0.003339735;0.003866639;0.004951203;0.011853024;0.008714078;0.006603592;0.006060711;0.005126613;0.008802377;0.015209149;0.010986775;0.022473135;0.01248843;0.010735283
0.038279851;0.01404585;0.00505004;0.008569918;0.021115499;0.019412244;0.023545143;0.02030186;0.014441645;0.013662061;0.029520749;0.027119796;0.012835447;0.035123022;0.008380441;0.00639126;0.007593722;0.018638664;0.018811707;0.006717554;0.012326379;0.008039234;0.006402849;0.012439054;0.006829453;0.004599819;0.007516297;0.007732257;0.007941899;0.004041607;0.010805975;0.024242501;0.00486548;0.005512736;0.004426459;0.003629105;0.003107138;0.003358767;0.003880583;0.004993474;0.012022383;0.008869396;0.006674854;0.006112902;0.005112812;0.00891968;0.015383398;0.011150704;0.022705084;0.012584168;0.010878636
0.038196269;0.01426523;0.005113551;0.008725555;0.021301115;0.019636144;0.02380489;0.020480177;0.014663221;0.013868625;0.029777117;0.027415033;0.013016975;0.035411384;0.008492255;0.006462329;0.007709564;0.018867791;0.019078882;0.006840322;0.012506376;0.008042775;0.006499044;0.012614625;0.006937459;0.00467335;0.007618541;0.007828141;0.008003441;0.004083086;0.010856398;0.02443438;0.00489838;0.005534726;0.004457692;0.003658379;0.003108387;0.003371475;0.003887277;0.005029461;0.012200241;0.009037134;0.006756052;0.006184052;0.005110768;0.009046728;0.01558178;0.011325234;0.022950599;0.012689474;0.011032963
0.038144114;0.01449588;0.005183012;0.00889074;0.021493754;0.019860548;0.024089089;0.02066574;0.014884881;0.014088418;0.030068288;0.027747073;0.013214063;0.03570757;0.008607851;0.006537565;0.007839884;0.019132607;0.019368647;0.006965125;0.012676802;0.008042031;0.006600851;0.012807007;0.007031644;0.004742854;0.0077318;0.007932834;0.008081204;0.004113832;0.01091102;0.024630639;0.004938561;0.005555025;0.004472124;0.003683496;0.00311587;0.003366633;0.003894983;0.005057396;0.012386489;0.009204141;0.006836086;0.006265789;0.005111619;0.009186377;0.015788356;0.011515651;0.023217036;0.012807276;0.01119974
0.03810299;0.014717945;0.005247397;0.009068766;0.021699791;0.020106434;0.024379679;0.02087394;0.015124405;0.0143064;0.030362202;0.028093212;0.013436005;0.03601474;0.008727468;0.006610856;0.007964531;0.019404064;0.019667218;0.007105431;0.012867426;0.008041977;0.006713485;0.013004734;0.007127494;0.004826313;0.007856992;0.008045964;0.008158794;0.004152676;0.010980591;0.024828399;0.004978887;0.005610078;0.004499137;0.003723745;0.003155474;0.003365354;0.003910673;0.00508533;0.012589216;0.009375712;0.006923975;0.006330131;0.005100863;0.009341719;0.016006287;0.011706423;0.023476201;0.012954821;0.011384972
0.038049186;0.0149382;0.005304788;0.009244819;0.021922073;0.020356916;0.024670519;0.021101289;0.015375721;0.014529592;0.030663368;0.02844879;0.013655606;0.036324318;0.008854107;0.006682945;0.008113918;0.019673276;0.019973058;0.007260241;0.013074359;0.008045705;0.006836648;0.013206852;0.007223357;0.004918136;0.007987867;0.008156753;0.008231521;0.004186486;0.011065459;0.025037707;0.005019198;0.005685395;0.004524115;0.003753684;0.00320127;0.003362842;0.003921583;0.005118701;0.012799748;0.009550082;0.007021362;0.006393382;0.005092554;0.009505375;0.01622876;0.011899366;0.023717168;0.013115859;0.011573586
0.03797084;0.015168459;0.005365934;0.009419918;0.022150883;0.020608052;0.024973446;0.021338563;0.015637654;0.014759552;0.030978558;0.028812339;0.013862193;0.036645546;0.008981957;0.006758496;0.008286628;0.019950542;0.02028692;0.007424603;0.013293562;0.008050623;0.006956015;0.013409719;0.007315924;0.005010649;0.008121481;0.008256878;0.00830305;0.004217204;0.011151156;0.025244613;0.005058723;0.005748963;0.004529643;0.003779088;0.003233038;0.00335286;0.003937291;0.005164596;0.013002904;0.009725196;0.007119984;0.006466797;0.005085979;0.009662376;0.016443476;0.012108493;0.023956472;0.013271592;0.011767429
0.037860264;0.015401104;0.005428604;0.009599556;0.022378488;0.020856891;0.025285651;0.021580549;0.015903536;0.014990628;0.031300231;0.029185124;0.014094198;0.0369698;0.009116374;0.006832789;0.008438104;0.020227377;0.020597776;0.007587281;0.013508573;0.008058096;0.00707436;0.013601255;0.007428752;0.005113224;0.008240114;0.008351832;0.008374233;0.004242574;0.011226665;0.02542994;0.005101304;0.005802295;0.004544409;0.003806098;0.003246226;0.00334173;0.003959849;0.00520213;0.013188775;0.009904698;0.007208129;0.006541124;0.005074628;0.009825057;0.01665065;0.012317725;0.024211637;0.013418339;0.0119691
0.037715523;0.015632566;0.005495875;0.009777713;0.022611773;0.021107457;0.025599512;0.021832773;0.016176854;0.015215478;0.031622615;0.029565813;0.014325742;0.037287534;0.009247085;0.006906504;0.008585703;0.020495797;0.02090822;0.007740525;0.013714664;0.008071705;0.007194118;0.013781349;0.007553077;0.005208472;0.008343748;0.008448774;0.008442088;0.004259823;0.011296293;0.025597912;0.005140503;0.005836882;0.004562998;0.003818193;0.00326181;0.003338539;0.00397675;0.00523926;0.013372567;0.010092397;0.007292899;0.006606235;0.005054731;0.009991092;0.016867233;0.01252169;0.024468409;0.013556322;0.012167714
0.037547241;0.015852478;0.005561101;0.009953891;0.022851116;0.021358012;0.025905824;0.022084401;0.016457549;0.015435291;0.031943364;0.029942472;0.01453719;0.037602155;0.009350483;0.00696376;0.008727798;0.020770472;0.021225759;0.00789192;0.013912284;0.008076504;0.007309552;0.013962213;0.007653263;0.005272231;0.008443936;0.008543364;0.008509488;0.004285434;0.011356552;0.025763629;0.005167105;0.005859455;0.004572464;0.003822443;0.003276119;0.00334024;0.003995812;0.005275906;0.013568305;0.010282286;0.007378921;0.006669908;0.0050342;0.010152012;0.017092224;0.012718189;0.024704463;0.013696683;0.012371902
0.037358303;0.016068211;0.005608186;0.010124787;0.023075744;0.021587167;0.026189782;0.022336249;0.016723942;0.015642976;0.032263209;0.030318281;0.014773344;0.037900703;0.009446658;0.007009993;0.008869752;0.02105512;0.021534564;0.008034143;0.014102017;0.008064507;0.007421048;0.014140693;0.007737124;0.005325009;0.008550278;0.008623009;0.008570205;0.004315844;0.011407857;0.025905011;0.005203112;0.00588755;0.004573554;0.003826265;0.003281478;0.003323633;0.004013723;0.005297738;0.013752195;0.01044648;0.00745363;0.006730219;0.00501451;0.010307122;0.01729768;0.01290651;0.024932157;0.013847291;0.012572873
0.037151363;0.016282403;0.005638005;0.010289607;0.023284735;0.021799462;0.026446556;0.022577685;0.016977692;0.015839462;0.03256244;0.030679905;0.015013898;0.038183503;0.00953631;0.007051991;0.00900983;0.021322575;0.021823021;0.008167887;0.014304283;0.008049204;0.00752506;0.014303853;0.007825663;0.005384455;0.008654741;0.008693369;0.008615844;0.004355314;0.011453182;0.026025285;0.005243689;0.005911908;0.004582922;0.003831392;0.003283904;0.003306825;0.004027221;0.00531674;0.013912223;0.010594543;0.007527795;0.006781362;0.004988975;0.010449269;0.017493859;0.013081048;0.02514927;0.013997609;0.012758658
0.036928959;0.016468449;0.00565816;0.010443034;0.023477642;0.021989489;0.026673778;0.022795051;0.017224681;0.016016693;0.032825267;0.031015546;0.01521488;0.038448471;0.009625703;0.007083374;0.009130853;0.021523896;0.022079223;0.008310221;0.014496184;0.008040426;0.007619543;0.014455469;0.0079494;0.005452812;0.008747924;0.008767368;0.008634869;0.004386687;0.011485742;0.026099346;0.005268961;0.005933627;0.004615125;0.003823088;0.003280624;0.003300084;0.004026154;0.005348929;0.014074113;0.010739475;0.007594894;0.00681759;0.004950653;0.010564112;0.017671693;0.013231208;0.025340244;0.014126321;0.012919028
0.03667979;0.016639091;0.005688787;0.010585656;0.023643245;0.022159746;0.026893903;0.022992913;0.017437511;0.016170555;0.033068493;0.031330082;0.015383921;0.038698634;0.009701258;0.007113537;0.009237859;0.021716638;0.022309967;0.008432044;0.014652605;0.008033052;0.007694619;0.014587979;0.00805036;0.005502292;0.008828327;0.008826301;0.008658563;0.004405114;0.011491429;0.026127319;0.005287435;0.005925109;0.004627125;0.003806393;0.00325837;0.00329183;0.004021657;0.005377219;0.014206859;0.010871171;0.007646307;0.006849414;0.004901918;0.010651386;0.017822556;0.013375018;0.025533848;0.014216446;0.01304975
0.036390204;0.016786167;0.005726395;0.010721816;0.023786723;0.022324177;0.027103273;0.023176165;0.017607271;0.016297992;0.033286361;0.031614241;0.015535442;0.03892879;0.009751388;0.007133013;0.00931854;0.021915025;0.022511811;0.00852111;0.014779198;0.008028674;0.007758027;0.014693364;0.008097541;0.005528886;0.00889333;0.008864372;0.008695611;0.004411009;0.011472469;0.026129252;0.005301267;0.005908379;0.004617686;0.003792835;0.003217113;0.003288963;0.004014705;0.005375782;0.014297941;0.010989002;0.007688078;0.006869189;0.004850601;0.010725023;0.017954397;0.013502373;0.025718256;0.014283194;0.013156116
0.036048821;0.016897728;0.005739729;0.010827935;0.023907192;0.02244711;0.027270424;0.02335312;0.0177444;0.016411771;0.033469754;0.031855736;0.015664551;0.039106612;0.009786207;0.007137409;0.009383626;0.022058372;0.022649399;0.008599993;0.014885575;0.008013515;0.007811618;0.014779078;0.008149719;0.005545779;0.008929159;0.008880524;0.008716265;0.004406101;0.011440171;0.026095903;0.005300072;0.005901611;0.004625242;0.003757625;0.003182149;0.003290888;0.003976573;0.005360698;0.01436034;0.011082127;0.007720804;0.006872715;0.004793878;0.010782459;0.018055818;0.013588429;0.025867319;0.014338096;0.013236651
0.035671211;0.016971942;0.005731753;0.010905385;0.02399183;0.022527526;0.027397764;0.023493471;0.017852197;0.0165071;0.033612531;0.032039946;0.015746253;0.039241683;0.009793987;0.007120858;0.009424289;0.022160545;0.022742918;0.008662527;0.014972406;0.007978326;0.007840273;0.014850587;0.008170426;0.005545381;0.008948585;0.00887797;0.008718255;0.004403509;0.011388848;0.026019431;0.005281336;0.0058961;0.004626023;0.003726121;0.003150158;0.003289967;0.003931807;0.005331366;0.014386559;0.011145093;0.00774399;0.006867589;0.004739675;0.010813188;0.018123038;0.01364794;0.025974576;0.014372281;0.013302036
0.03526921;0.016998906;0.005707629;0.010952553;0.024024556;0.022562538;0.027479423;0.023566457;0.017922604;0.016563779;0.033694694;0.032154625;0.015772336;0.039325285;0.009783003;0.007081436;0.009418283;0.022221048;0.02280923;0.008680912;0.015018508;0.007925465;0.007839561;0.014898346;0.008135107;0.005532167;0.008951988;0.008873723;0.008695735;0.004398488;0.011314403;0.025875633;0.005252813;0.00589233;0.004608423;0.003707104;0.003130493;0.003286222;0.003897682;0.005274014;0.014365693;0.011177549;0.007753267;0.006844775;0.004687255;0.010821744;0.018165072;0.013684287;0.026039673;0.014360977;0.013342359
